Address,Lat,Long,PermitNo,Description,Link,Issued
319-323 Swanston Street MELBOURNE VIC 3000,-37.8107032,144.9640739,TP-2014-484,Alterations to shop front; construction and display of a business identification sign and an internally illuminated sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=215641,Yes
65-67 Hope Street SOUTH YARRA VIC 3141,-37.835691,144.979124,TP-2014-485,"Partial demolition of the existing dwelling and construction of a single storey extension to the existing dwelling, external painting and construction of a fence",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=215642,Yes
43 Curzon Street NORTH MELBOURNE VIC 3051,-37.804076,144.94756,TP-2014-483,Partial demolition and construction of alterations and additions to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=215136,Yes
Basement 380 Bourke Street MELBOURNE VIC 3000,-37.814165,144.962261,TP-2012-865,Replacement of existing wall mounted lightbox sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=187862,No
"Shop 3, 12-18 Meyers Place MELBOURNE VIC 3000",-37.812216,144.972451,TP-2012-866,Buildings and works (including partial demolition) to carry out works to the existing tavern and continue use as a tavern,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=187863,Yes
68-82 Leveson Street NORTH MELBOURNE VIC 3051,-37.802482,144.95171,TP-2011-927/A,Demolition of the existing building and construction of a four storey residential building and a five storey residential building in accordance with the endorsed plans.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=187890,No
Regent 187 On Collins 181-187 Collins Street MELBOURNE VIC 3000,-37.81542,144.967806,TP-2012-867,Externally paint the existing building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=187895,Yes
522-534 Collins Street MELBOURNE VIC 3000,-37.8183692,144.9563019,TPS-2012-23,Construction of a retractable awning,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=187930,No
47 Chapman Street NORTH MELBOURNE VIC 3051,-37.796988,144.948745,TP-2012-858,Rendering of the external walls of the dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=187845,No
473-481 Elizabeth Street MELBOURNE VIC 3000,-37.807815,144.95975,TP-2012-859,Construction of four awnings to the existing building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=187847,No
282-336 Victoria Parade EAST MELBOURNE VIC 3002,-37.8095682,144.9818828,TP-2012-860,Change of use of existing private car park to a commercial car park and associated business indentification and directional signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=187848,No
Mercantile Rowing Club Yarra Boathouses Boathouse Drive MELBOURNE VIC 3004,-37.8200777,144.9732339,TP-2012-861,Construct and carry out works,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=187849,No
578-606 Bourke Street MELBOURNE VIC 3000,-37.815311,144.955946,TP-2012-196/A,"Erection of internally-illuminated, high wall building identification signage",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=187850,Yes
99-111 Lorimer Street DOCKLANDS VIC 3008,-37.824123,144.939232,TP-2014-203,Installation  and use of an electronic promotion sign (LED screen) on an existing pylon sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210427,No
Melbourne Zoological Gardens Elliott Avenue PARKVILLE VIC 3052,-37.7880235,144.9502032,TP-2014-204,"Installation of solar panel on Corporate Building, Baboons Building and Elephants Building",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210428,Yes
320 Victoria Parade EAST MELBOURNE VIC 3002,-37.8093434,144.982275,TP-2014-205,Construct and display business identification sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210429,Yes
280-294 Little Lonsdale Street MELBOURNE VIC 3000,-37.81142,144.960819,TP-2014-206,Alterations to shopfront including partial demolition and erection of internally illuminated business identification signs,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210430,Yes
QV Village 278-300 Swanston Street MELBOURNE VIC 3000,-37.810506,144.96586,TP-2014-207,Installation and display of business identification and promotional signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210431,Yes
97 Franklin Street MELBOURNE VIC 3000,-37.808138,144.961267,TPM-2014-14,"Demolition of existing building and development of multi-storey (63 levels) building for the purposes of dwellings, residential hotel, office and ground level retail with associated on site parking",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210432,No
360-374 Collins Street MELBOURNE VIC 3000,-37.816305,144.962242,TPS-2014-13,Installation of air intake louvre on east elevation of Level 16,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210438,No
Carlow House 281-291 Flinders Lane MELBOURNE VIC 3000,-37.8182059,144.9651594,TP-2014-208,Partial demolition to the existing window openings and alterations and additions to the existing canopy to allow for a balcony,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210440,Yes
380-384 Little Bourke Street MELBOURNE VIC 3000,-37.813593,144.961287,TP-2014-198,Buildings and works to replace the existing shop facade and construct a retractable awning,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210362,Yes
Level 6 326 William Street MELBOURNE VIC 3000,-37.8115143,144.9567124,TP-2014-199,Construction and display of a business identification sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210363,Yes
Lonsdale Central Apartments 439-445 Lonsdale Street MELBOURNE VIC 3000,-37.8132679,144.9591145,TP-2006-1183/B,Addition of three levels to the existing building and exemption from bicycle facility requirements,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227748,No
Dock 5 41-55 Victoria Harbour Promenade DOCKLANDS VIC 3008,-37.8193597,144.9429216,TPS-2015-6,"Proposed timber and steel structure to outdoor dining area, Ground Floor, Dock 5 Building, 41-55 Victoria Harbour Promenade, Docklands",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227797,No
217-219 Canning Street CARLTON VIC 3053,-37.793195,144.973326,TP-2015-73,Partial demolition and construction of alterations and additions to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227799,Yes
Cavendish House Apartments 27-37 Russell Street MELBOURNE VIC 3000,-37.816086,144.969177,TP-2015-74,Demolition of the existing awning and construction and display of an internally illuminated business identification sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227802,Yes
20 Hope Street SOUTH YARRA VIC 3141,-37.836796,144.97938,TP-2015-63,Partial demolition and construction of double storey alterations and additions to the rear of the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227667,Yes
33 Morrah Street PARKVILLE VIC 3052,-37.795916,144.956417,TP-2015-64,Alterations and additions to the existing outbuilding and replacement of a side fence.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227669,Yes
38 Stawell Street NORTH MELBOURNE VIC 3051,-37.803089,144.94315,TP-2012-786/A,Extend existing dwelling.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227713,No
38 Stawell Street NORTH MELBOURNE VIC 3051,-37.803089,144.94315,TP-2012-786/B,Removal of Condition 4 of the existing permit,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227714,Yes
135-137 Swanston Street MELBOURNE VIC 3000,-37.814494,144.965774,TP-2015-67,"Partial demolition, alterations to shopfront and construction and display of business identification signs",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227724,Yes
622-624 Victoria Street NORTH MELBOURNE VIC 3051,-37.804445,144.945682,TP-2015-68,Demolition of the existing garage fronting Victoria Street; and buildings and works to construct a new garage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=227726,Yes
54-62 Wirraway Drive FISHERMANS BEND VIC 3207,-37.825003,144.908748,TP-2013-314,Addition of a second mezzanine storage level,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195587,No
2 Errol Street NORTH MELBOURNE VIC 3051,-37.8049722,144.949516,TP-2013-308,Construction and display of a business identification sign,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195492,Yes
238 Little Bourke Street MELBOURNE VIC 3000,-37.812248,144.965781,TP-2013-309,"Partial demolition and construction of alterations and additions to external wall to Tattersalls Lane, realignment of section of kerb to Tattersalls Lane, artwork to external wall and erection of business identification signage",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195503,No
167-173 Flinders Lane MELBOURNE VIC 3000,-37.816143,144.968828,TP-2013-310,Use of the land  at level 1 for the purpose of a Restricted Recreational Facility (Yoga Studio),http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195505,Yes
71 Morrah Street PARKVILLE VIC 3052,-37.795755,144.955051,TP-2013-299,Alterations and additions to the rear of the dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195403,Yes
151-165 Franklin Street MELBOURNE VIC 3000,-37.808935,144.959547,TP-2013-300,Construct and display a temporary major promotion sign on hoarding,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195404,Yes
162-188 Turner Street PORT MELBOURNE VIC 3207,-37.8240124,144.93206,TP-2013-301,Proposed floodlit major promotion sign (sky sign),http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195405,Yes
Boeing Aerostructures Australia 224-260 Lorimer Street FISHERMANS BEND VIC 3207,-37.8268261,144.9116167,TP-2012-1010/A,Building and works to construct a canopy and installation of air intake vents and vent stacks,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195406,Yes
Newquay Central 425-441 Docklands Drive DOCKLANDS VIC 3008,-37.814906,144.938287,TP-2013-302,Erect and display singage on two stacked shipping containers for two years,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195434,No
"Unit 2, 35 Peel Street WEST MELBOURNE VIC 3003",-37.8074354,144.9555885,TP-2013-303,"Use of the land as a massage facility, display of advertising signage and waiver of car parking requirements",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=195456,Yes
QV Retail 221 Little Lonsdale Street MELBOURNE VIC 3000,-37.8102853,144.965331,TP-2013-417,Installation of business identification (way-finding) signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197135,Yes
20 Wimble Street PARKVILLE VIC 3052,-37.794896,144.956156,TP-2013-418,Alterations to front facade,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197156,Yes
453 Dryburgh Street NORTH MELBOURNE VIC 3051,-37.794443,144.944619,TP-2013-419,3 lot subdivision in accordance with PS720345Y.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197166,Yes
411 Macaulay Road KENSINGTON VIC 3031,-37.7947808,144.9330461,TP-2013-412,Use of the premises for a restricted recreation facility (personal training gym),http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197108,No
170-176 William Street MELBOURNE VIC 3000,-37.814935,144.958228,TP-2013-411,Erection of business identification signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197107,Yes
11 Mattinglys Lane NORTH MELBOURNE VIC 3051,-37.8026217,144.9492669,TP-2013-414,"Construction of a new dwelling, including alterations",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197112,Yes
1-7 Queens Bridge Street SOUTHBANK VIC 3006,-37.822038,144.961698,TPM-2013-8,Demolition of existing buildings and the construction of a mixed use high rise building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197115,No
19-35 Flemington Road NORTH MELBOURNE VIC 3051,-37.800685,144.955188,TPM-2013-9,"Demolition of the existing building and subsequent buildings and works associated with the use of the site for dwellings, shops, restaurant and a medical centre and a reduction in the car parking requirements (DPCD ref no. 2013005494)",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197116,No
23 Haines Street NORTH MELBOURNE VIC 3051,-37.799031,144.949288,TP-2013-415,Demolition of existing fence and reconstruction of fence to 2400mm height,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197118,No
570-578 Victoria Street NORTH MELBOURNE VIC 3051,-37.80454,144.947069,TP-2013-416,To use the land for the sale and consumption of liquor,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=197119,No
55 The Ridgeway KENSINGTON VIC 3031,-37.7950364,144.9249072,TP-2014-148,Part demolition and construction of an extension to the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=209107,Yes
361-363 Little Bourke Street MELBOURNE VIC 3000,-37.8135947,144.9619994,TP-2014-145,"Demolish existing shopfront, install bi-fold doors and windows and erect business identification signs",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=209125,No
62-104 Coventry Street SOUTHBANK VIC 3006,-37.829627,144.967038,TP-2014-146,Minor demolition and alterations to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=209126,Yes
14 Jolimont Terrace JOLIMONT VIC 3002,-37.8178727,144.979047,TP-2014-147,Carry out alterations to the existing dwelling comprising a solar screen and modifications,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=209127,Yes
614-666 Flinders Street DOCKLANDS VIC 3008,-37.82129,144.953449,TPM-2014-9,Batman's Hill Development Plan,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=209041,No
Infinity 8 Apartments 243-263 Franklin Street MELBOURNE VIC 3000,-37.80967,144.956664,TP-2009-338/B,To amend the endorsed plans to modify the treatment of the western elevation of the building and delete Condition 4 of the permit,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=208937,Yes
551-559 Royal Parade PARKVILLE VIC 3052,-37.778746,144.9599429,TP-2014-134,Buildings and works for external alteration and an addition to the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=208948,No
92 Elgin Street CARLTON VIC 3053,-37.797376,144.971656,TP-2014-135,"Change of use to backpacker's lodge, partial demolition to rear of existing building and construction of alterations and additions to rear of building",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=208949,Yes
10-24 Ireland Street WEST MELBOURNE VIC 3003,-37.80746,144.945683,TP-2014-139,Works including the installation of roller shutters to roof skylights,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=208980,Yes
171-175 Elgin Street CARLTON VIC 3053,-37.797506,144.968708,TP-2014-137,External painting and change of signage on existing building,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=208990,Yes
248-250 Sturt Street SOUTHBANK VIC 3006,-37.82876,144.965385,TPM-2014-15,Construction of a multi-storey mixed use development (2014/000990),http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210686,No
471-485 Collins Street MELBOURNE VIC 3000,-37.8180662,144.9578698,TPS-2014-14,"Installation of exhaust duct on Flinders Lane elevation, 7m above street level",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210535,No
Parkside Apartments 481-483 St Kilda Road MELBOURNE VIC 3004,-37.8424683,144.9780422,TP-2014-217,Building and works comprising a balcony to the existing dweling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210614,Yes
12 Chetwynd Street WEST MELBOURNE VIC 3003,-37.807641,144.952053,TP-2014-214,External alterations including the painting of the front facade and the removal of steel grate from front windows,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213708,Yes
351-387 Ingles Street PORT MELBOURNE VIC 3207,-37.8226836,144.933451,TP-2014-215,"Display of internally illuminated business identification signage, and construction of an addition to the existing south boundary showroom to incorporate a mezzanine level",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213709,Yes
81 Neill Street CARLTON VIC 3053,-37.794444,144.972164,TP-2014-211,Realign the boundary to allow transfer of ownership of the private walkway,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210500,No
"Flat 3, 173 Walsh Street SOUTH YARRA VIC 3141",-37.8340115,144.985559,TP-2014-212,Retrospective building and works including partial demoltion of an existing carport roof and alterations to an existing fence,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210518,Yes
18 Jolimont Terrace JOLIMONT VIC 3002,-37.8178727,144.979047,TP-2014-213,Buildings and works comprising the partial demolition and extension to the existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210519,Yes
19-35 Flemington Road NORTH MELBOURNE VIC 3051,-37.800685,144.955188,TP-2014-209,444 subdivision of PS719578G,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210092,Yes
98-108 Rankins Road KENSINGTON VIC 3031,-37.792122,144.930946,TP-2014-210,26 lot subdivision of PS702137J,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=210097,Yes
73 Morrah Street PARKVILLE VIC 3052,-37.795747,144.954988,TP-2014-405,Demolition of the external toilet and fences and addition of a roller door,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=214054,Yes
151 Eastwood Street KENSINGTON VIC 3031,-37.795598,144.931701,TP-2014-401,Partial demolition and construction of single-storey extension to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213625,Yes
15-31 Batman Street WEST MELBOURNE VIC 3003,-37.810897,144.952317,TPM-2014-21,"Buildings & works for the contruction of a mixed use development comprising of offices, retail shops and apartments; use of land for office and shops; and reduction of the car parking requirements",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213628,No
City Gardens 92-132 O'Shanassy Street NORTH MELBOURNE VIC 3051,-37.799575,144.9446388,TP-2014-402,Buildings and works (conversion of carport to garage),http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213640,Yes
CBW Melbourne 147-185 William Street MELBOURNE VIC 3000,-37.814949,144.957487,TP-2014-395,"Partial demolition of planter boxes, stairs and ramp; building and works including the construction of a podium, seating, access ramp, stairs and public art; and modifications to mezzanine balustrades",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213983,Yes
235-237 Faraday Street CARLTON VIC 3053,-37.7986268,144.9662714,TP-2014-396,"Use of the site for the purposes of shops (excluding supermarket, adult sex bookshop, bottle shop) construction of one dwelling on the lot, external alterations and a reduction in the car parking requirements",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213987,No
45 Westbourne Road KENSINGTON VIC 3031,-37.793188,144.922656,TP-2014-397,Partial demolition and construction of single-storey extension to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213990,No
53-63 Queensberry Street CARLTON VIC 3053,-37.805335,144.966991,TP-2014-399,"Alterations to existing church and footpath, including removal of existing temporary crossover and constuction of new crossover, loading and unloading bay, replacement of presbytery windows and side fence and installation of new boiler, A/C unit and sliding gate",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213992,No
131-141 Russell Street MELBOURNE VIC 3000,-37.813425,144.967853,TP-2014-398,24 lot subdivision of TP531567,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213993,Yes
600 Victoria Street NORTH MELBOURNE VIC 3051,-37.804458,144.946327,TP-2014-400,Partial demolition and construction of alterations and additions to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=213998,Yes
10-12 Nottingham Street KENSINGTON VIC 3031,-37.789254,144.9326,TP-2014-31/A,"Proposed removal of conditions 1c, d, e and f and condition 13",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=223835,Yes
481-495 Rathdowne Street CARLTON VIC 3053,-37.7941833,144.9709988,TPM-2014-49,Use and development of the land for one multi level apartment building and associated works,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=223840,Unsure
QV Village 278-300 Swanston Street MELBOURNE VIC 3000,-37.810506,144.96586,TPS-2014-42,Proposed transparent film,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=223841,Unsure
1-5 Stockmans Way KENSINGTON VIC 3031,-37.791195,144.922917,TP-2014-1069,Enclose part of the existing terrace to create a study,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=220955,Unsure
150 Swanston Street MELBOURNE VIC 3000,-37.814085,144.966195,TP-2014-1070,"Construction of a balcony, retactable awning and facade alterations above existing verandah",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=220956,Unsure
26 Hardiman Street KENSINGTON VIC 3031,-37.795826,144.932538,TP-2014-1071,Partial demolition of existing dwelling and construction of double storey extension and additions with rooftop deck,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=220961,Unsure
Victoria Harbour Precinct 839-899 Collins Street DOCKLANDS VIC 3008,-37.8208296,144.9479048,TPM-2014-50,"Two stage development of four mixed use buildings comprising dwellings and retail premises, associated parking and public realm works .",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=220968,Unsure
146W-150W Toorak Road SOUTH YARRA VIC 3141,-37.839155,144.991191,TP-2014-1061,"Carry out development including construction of a 4 storey building (above basement and semi-basment levels) for use as dwellings, reduce the car parking requirement and create/alter access to a road in a Road Zone Category 1",http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224644,Unsure
87-89 Mason Street SOUTH YARRA VIC 3141,-37.8364445,144.9808261,TP-2012-197/B,Deletion of condition 1a) and amend the preamble to include 'external render to existing dwelling',http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224659,Unsure
394-400 Lonsdale Street MELBOURNE VIC 3000,-37.8128416,144.9605927,TP-2014-738/A,alertations and additions to a restaurant,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=224661,Unsure
430-442 Collins Street MELBOURNE VIC 3000,-37.8162915,144.9599039,TPS-2013-14,construction of a louvre,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=201083,Unsure
78 Erskine Street NORTH MELBOURNE VIC 3051,-37.7945353,144.9426172,TP-2013-742,Partial demolition of the existing dwelling and construction of a single storey extension to the rear,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=201086,Unsure
593-611 Little Lonsdale Street MELBOURNE VIC 3000,-37.813893,144.953723,TP-2013-737,Creation of easement.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=201012,Unsure
Yarra Boathouses Boathouse Drive MELBOURNE VIC 3004,-37.8200777,144.9732339,TP-2013-729,Erection of temporary directional signage and scaffolding associated with the Melbourne Festival,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=200920,Unsure
195-197 Russell Street MELBOURNE VIC 3000,-37.811978,144.96748,TP-2013-730,Alterations and additions to the existing shopfront including the construction and display of advertising signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=200923,Unsure
166 Hotham Street EAST MELBOURNE VIC 3002,-37.813516,144.984929,TP-2013-731,Minor demolition and buildings and works to construct a new carport and a skylight to existing dwelling,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=200933,Unsure
471-485 Collins Street MELBOURNE VIC 3000,-37.8180662,144.9578698,TP-2013-732,Erect and dislay business and promotional signage,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=200938,Unsure
140 East 134-144 Bourke Street MELBOURNE VIC 3000,-37.81204,144.968887,TP-2013-733,Subdivision in accordance with PS428191E Section 32.,http://www.melbourne.vic.gov.au/BuildingandPlanning/Planning/Pages/Planningregisteronlinesearchresults.aspx?appid=200961,Unsure
